Time,Reaction Name,iC4H10 SP,O2 SP,N2 SP,N2O SP,H2 SP,Furnace Temp SP,Reactor Temp SP,Ramp Rate SP,Number of Samples SP,Delay Time SP,Injection Offset SP,gc_stream SP,Bulk SP SP,5 SP,6 SP,iC4H10 PV,O2 PV,N2 PV,N2O PV,H2 PV,Furnace Temp PV,Reactor Temp PV,Ramp Rate PV,Number of Samples PV,Delay Time PV,Injection Offset PV,gc_stream PV,Bulk SP PV,5 PV,6 PV
Wed Feb 14 16:30:37 2024,24-008 reduxn rxn bp,0.0,0,75.075,0,74.0925,25.0,-1.0,0.0,0,0,0,1,15,15.0,15.0,0.0,0.0,75.07875,0.0,74.0925,50.713897705078125,23.276123046875,0.0,0,0,0,1,15.001,14.999,14.997
Wed Feb 14 16:30:45 2024,24-008 reduxn rxn bp,0.0,0,75.075,0,74.0925,25.0,-1.0,0.0,0,0,0,1,15,15.0,15.0,0.0,0.0,75.075,0.0,74.0925,50.712371826171875,23.232635498046875,0.0,0,0,0,1,15.001,14.999,15.0
Wed Feb 14 16:30:52 2024,24-008 reduxn rxn bp,0.0,0,75.075,0,74.0925,25.0,-1.0,0.0,0,0,0,1,15,15.0,15.0,0.0,0.0,75.0825,0.0,74.08875,50.718650817871094,23.26495361328125,0.0,0,0,0,1,15.00125,14.998,14.998
Wed Feb 14 16:31:00 2024,24-008 reduxn rxn bp,0.0,0,75.075,0,74.0925,25.0,-1.0,0.0,0,0,0,1,15,15.0,15.0,0.0,0.0,75.0675,0.0,74.08500000000001,50.71916961669922,23.234619140625,0.0,0,0,0,1,15.00125,14.997,14.996
Wed Feb 14 16:31:07 2024,24-008 reduxn rxn bp,0.0,0,75.075,0,74.0925,25.0,-1.0,0.0,0,0,0,1,15,15.0,15.0,0.0,0.0,75.07875,0.0,74.09625,50.728172302246094,23.182342529296875,0.0,0,0,0,1,14.9985,14.998,14.999
Wed Feb 14 16:31:15 2024,24-008 reduxn rxn bp,0.0,0,75.075,0,74.0925,25.0,-1.0,0.0,0,0,0,1,15,15.0,15.0,0.0,0.0,75.06375,0.0,74.09625,50.72138214111328,23.26934814453125,0.0,0,0,0,1,14.9985,14.998,15.005
Wed Feb 14 16:31:22 2024,24-008 reduxn rxn bp,0.0,0,75.075,0,74.0925,25.0,-1.0,0.0,0,0,0,1,15,15.0,15.0,0.0,0.0,75.07124999999999,0.0,74.09625,50.724727630615234,23.186737060546875,0.0,0,0,0,1,14.99925,14.999,14.999
Wed Feb 14 16:31:30 2024,24-008 reduxn rxn bp,0.0,0,75.075,0,74.0925,25.0,-1.0,0.0,0,0,0,1,15,15.0,15.0,0.0,0.0,75.07124999999999,0.0,74.10000000000001,50.71991729736328,23.2298583984375,0.0,0,0,0,1,14.99925,15.001,15.002
Wed Feb 14 16:31:37 2024,24-008 reduxn rxn bp,0.0,0,75.075,0,74.0925,25.0,-1.0,0.0,0,0,0,1,15,15.0,15.0,0.0,0.0,75.07124999999999,0.0,74.08500000000001,50.721046447753906,23.243408203125,0.0,0,0,0,1,15.002749999999999,14.991,14.998
Wed Feb 14 16:31:45 2024,24-008 reduxn rxn bp,0.0,0,75.075,0,74.0925,25.0,-1.0,0.0,0,0,0,1,15,15.0,15.0,0.0,0.0,75.07124999999999,0.0,74.10000000000001,50.71876907348633,23.160400390625,0.0,0,0,0,1,15.002749999999999,15.004,15.002
Wed Feb 14 16:31:52 2024,24-008 reduxn rxn bp,0.0,0,75.075,0,74.0925,25.0,-1.0,0.0,0,0,0,1,15,15.0,15.0,0.0,0.0,75.06375,0.0,74.10000000000001,50.716026306152344,23.2298583984375,0.0,0,0,0,1,15.00075,15.002,15.001
Wed Feb 14 16:32:07 2024,24-008 reduxn rxn bp,0.0,0,75.075,0,74.0925,26.581499099731445,-1.0,20.0,7,8,0,1,15,15.0,15.0,0.0,0.0,75.07875,0.0,74.08875,50.7164421081543,23.280517578125,20.0,0,8,0,1,15.0015,14.998,15.001
Wed Feb 14 16:33:32 2024,24-008 reduxn rxn bp,0.0,0,75.075,0,74.0925,54.84051513671875,-1.0,20.0,7,8,0,1,15,15.0,15.0,0.0,0.0,75.07124999999999,0.0,74.08500000000001,52.288570404052734,31.56939697265625,20.0,1,8,0,1,15.0,15.001,15.0
Wed Feb 14 16:33:42 2024,24-008 reduxn rxn bp,0.0,0,75.075,0,74.0925,58.2148323059082,-1.0,20.0,7,8,0,1,15,15.0,15.0,0.0,0.0,75.075,0.0,74.0925,53.113014221191406,34.770111083984375,20.0,1,8,0,1,15.0,15.001,15.001
Wed Feb 14 16:33:51 2024,24-008 reduxn rxn bp,0.0,0,75.075,0,74.0925,61.29556655883789,-1.0,20.0,7,8,0,1,15,15.0,15.0,0.0,0.0,75.07124999999999,0.0,74.08875,54.04755783081055,38.395782470703125,20.0,1,8,0,1,14.999749999999999,14.999,15.001
Wed Feb 14 16:34:01 2024,24-008 reduxn rxn bp,0.0,0,75.075,0,74.0925,64.37296295166016,-1.0,20.0,7,8,0,1,15,15.0,15.0,0.0,0.0,75.075,0.0,74.08875,55.28095245361328,42.375274658203125,20.0,1,8,0,1,14.999749999999999,15.006,15.0
Wed Feb 14 16:34:10 2024,24-008 reduxn rxn bp,0.0,0,75.075,0,74.0925,67.30683898925781,-1.0,20.0,7,8,0,1,15,15.0,15.0,0.0,0.0,75.075,0.0,74.0925,56.59228515625,46.369293212890625,20.0,1,8,0,1,14.99475,15.005,15.004
Wed Feb 14 16:34:20 2024,24-008 reduxn rxn bp,0.0,0,75.075,0,74.0925,70.6898193359375,-1.0,20.0,7,8,0,1,15,15.0,15.0,0.0,0.0,75.07875,0.0,74.10000000000001,58.109169006347656,50.9517822265625,20.0,1,8,0,1,14.99475,14.998,15.002
Wed Feb 14 16:34:29 2024,24-008 reduxn rxn bp,0.0,0,75.075,0,74.0925,73.95402526855469,-1.0,20.0,7,8,0,1,15,15.0,15.0,0.0,0.0,75.075,0.0,74.09625,59.72704315185547,55.757171630859375,20.0,1,8,0,1,14.99725,15.006,15.0
Wed Feb 14 16:34:39 2024,24-008 reduxn rxn bp,0.0,0,75.075,0,74.0925,77.21183013916016,-1.0,20.0,7,8,0,1,15,15.0,15.0,0.0,0.0,75.07124999999999,0.0,74.08875,61.6060905456543,60.696044921875,20.0,1,8,0,1,14.99725,15.006,15.002
Wed Feb 14 16:34:48 2024,24-008 reduxn rxn bp,0.0,0,75.075,0,74.0925,80.27104187011719,-1.0,20.0,7,8,0,1,15,15.0,15.0,0.0,0.0,75.07124999999999,0.0,74.10374999999999,63.520729064941406,65.96035766601562,20.0,1,8,0,1,14.999249999999998,14.998,15.0
Wed Feb 14 16:34:58 2024,24-008 reduxn rxn bp,0.0,0,75.075,0,74.0925,83.3390884399414,-1.0,20.0,7,8,0,1,15,15.0,15.0,0.0,0.0,75.08624999999999,0.0,74.09625,65.65971374511719,71.58145141601562,20.0,1,8,0,1,14.999249999999998,15.001,14.999
