Time,1,2,3,4
Wed Feb 14 17:22:31 2024,15.0,15.001,15.0,15.0
Wed Feb 14 17:22:46 2024,15.005,14.999,15.0,15.0
Wed Feb 14 17:23:01 2024,15.002,14.998,14.997,15.002
Wed Feb 14 17:23:16 2024,15.0,15.0,15.0,15.001
Wed Feb 14 17:23:31 2024,15.002,14.995,15.001,15.001
Wed Feb 14 17:23:46 2024,15.0,14.989,15.002,15.0
Wed Feb 14 17:24:01 2024,15.0,15.002,15.001,15.001
Wed Feb 14 17:24:16 2024,14.998,15.003,14.998,15.0
Wed Feb 14 17:24:31 2024,15.0,15.002,15.002,15.0
Wed Feb 14 17:24:46 2024,15.003,14.993,14.999,15.001
Wed Feb 14 17:25:01 2024,14.998,15.0,14.997,15.0
Wed Feb 14 17:25:16 2024,14.998,14.995,15.005,15.0
Wed Feb 14 17:25:31 2024,14.998,14.998,15.002,15.0
Wed Feb 14 17:25:46 2024,15.0,15.0,14.997,14.999
Wed Feb 14 17:26:01 2024,15.0,15.0,15.0,15.002
Wed Feb 14 17:26:16 2024,15.0,15.001,15.001,14.998
Wed Feb 14 17:26:31 2024,15.002,15.001,15.0,15.0
Wed Feb 14 17:26:45 2024,15.002,15.009,14.998,14.998
Wed Feb 14 17:27:00 2024,15.003,15.025,14.999,14.997
Wed Feb 14 17:27:15 2024,15.0,14.999,14.998,15.001
Wed Feb 14 17:27:30 2024,14.998,15.008,15.001,14.999
Wed Feb 14 17:27:45 2024,15.002,14.996,15.001,15.004
Wed Feb 14 17:28:00 2024,14.998,15.001,14.999,14.999
Wed Feb 14 17:28:15 2024,15.0,15.0,15.001,15.0
Wed Feb 14 17:28:30 2024,14.998,14.995,15.001,15.001
Wed Feb 14 17:28:45 2024,14.998,15.016,14.998,15.002
Wed Feb 14 17:29:00 2024,14.998,14.999,15.0,14.998
Wed Feb 14 17:29:15 2024,15.002,14.998,15.0,14.999
Wed Feb 14 17:29:29 2024,14.998,15.0,15.0,15.0
Wed Feb 14 17:29:44 2024,15.003,15.001,15.001,14.999
Wed Feb 14 17:29:59 2024,14.997,14.998,15.0,14.998
Wed Feb 14 17:30:14 2024,15.002,15.005,15.0,15.001
Wed Feb 14 17:30:29 2024,15.002,14.997,14.998,14.999
Wed Feb 14 17:30:44 2024,15.0,15.012,14.999,14.998
Wed Feb 14 17:30:59 2024,15.0,14.999,15.0,15.0
Wed Feb 14 17:31:14 2024,15.0,15.0,15.0,15.001
Wed Feb 14 17:31:29 2024,15.002,14.998,15.0,15.002
Wed Feb 14 17:31:43 2024,14.997,14.998,15.001,15.002
Wed Feb 14 17:31:58 2024,15.0,15.0,15.0,15.0
Wed Feb 14 17:32:14 2024,14.998,15.009,14.999,14.996
Wed Feb 14 17:32:29 2024,15.0,14.994,15.001,15.002
Wed Feb 14 17:32:44 2024,15.0,15.001,15.001,15.002
Wed Feb 14 17:32:59 2024,15.0,15.001,15.001,14.995
Wed Feb 14 17:33:14 2024,14.998,15.002,15.0,15.0
Wed Feb 14 17:33:28 2024,15.002,14.995,15.0,15.002
Wed Feb 14 17:33:43 2024,15.002,14.998,14.998,15.002
Wed Feb 14 17:33:58 2024,15.002,15.0,15.0,15.002
Wed Feb 14 17:34:13 2024,14.995,15.001,15.0,15.0
Wed Feb 14 17:34:28 2024,14.997,14.998,15.0,15.001
Wed Feb 14 17:34:43 2024,14.997,14.996,15.0,15.002
Wed Feb 14 17:34:58 2024,14.998,15.001,15.0,15.0
Wed Feb 14 17:35:13 2024,15.0,15.0,15.0,15.0
Wed Feb 14 17:35:28 2024,15.002,14.999,15.001,15.0
Wed Feb 14 17:35:43 2024,14.998,14.995,15.0,15.001
Wed Feb 14 17:35:58 2024,14.998,14.999,14.999,14.998
Wed Feb 14 17:36:13 2024,15.002,14.995,15.001,15.002
Wed Feb 14 17:36:28 2024,15.0,15.025,14.999,14.998
Wed Feb 14 17:36:42 2024,14.998,15.002,15.001,15.001
Wed Feb 14 17:36:57 2024,15.0,14.999,15.0,15.0
Wed Feb 14 17:37:12 2024,15.0,14.999,15.0,14.999
Wed Feb 14 17:37:27 2024,15.002,15.017,15.0,15.0
Wed Feb 14 17:37:42 2024,15.0,14.998,15.0,15.002
Wed Feb 14 17:37:57 2024,15.0,15.019,14.999,14.999
Wed Feb 14 17:38:12 2024,15.002,14.996,15.0,15.002
Wed Feb 14 17:38:27 2024,15.0,15.0,15.0,15.001
Wed Feb 14 17:38:42 2024,15.0,15.002,15.0,14.998
Wed Feb 14 17:38:57 2024,15.002,14.991,14.999,15.003
Wed Feb 14 17:39:12 2024,14.998,15.002,15.0,15.002
Wed Feb 14 17:39:27 2024,15.0,15.003,15.002,15.0
Wed Feb 14 17:39:42 2024,15.0,14.997,15.0,15.0
Wed Feb 14 17:39:56 2024,14.998,15.001,15.0,14.999
Wed Feb 14 17:40:11 2024,14.998,14.999,15.0,14.998
Wed Feb 14 17:40:26 2024,14.998,14.996,15.0,15.002
