Time,1,2,3,4,5,6
Thu Feb  8 12:37:54 2024,14.975,15.009,15.0,15.0,15.001,15.001
Thu Feb  8 12:38:13 2024,14.998,14.92,15.0,15.005,15.002,14.999
Thu Feb  8 12:38:32 2024,15.003,15.238,15.0,14.999,14.998,14.999
Thu Feb  8 12:38:51 2024,14.992,15.009,15.001,15.002,15.001,15.0
Thu Feb  8 12:39:10 2024,15.02,15.004,15.0,14.998,15.0,14.999
Thu Feb  8 12:39:29 2024,14.998,15.035,15.005,14.998,15.002,15.001
Thu Feb  8 12:39:48 2024,15.003,14.962,14.999,14.999,14.998,15.002
Thu Feb  8 12:40:07 2024,15.002,15.012,15.0,15.002,15.002,15.002
Thu Feb  8 12:40:26 2024,14.947,14.998,14.998,14.999,14.999,15.002
Thu Feb  8 12:40:45 2024,14.947,15.007,14.998,15.002,15.001,15.002
Thu Feb  8 12:42:10 2024,15.0,14.946,14.999,15.0,15.002,14.999
Thu Feb  8 12:42:29 2024,15.017,15.034,14.997,15.001,14.995,15.0
Thu Feb  8 12:42:49 2024,15.016,14.889,14.999,15.0,14.998,15.0
Thu Feb  8 12:43:08 2024,15.002,15.066,14.998,15.0,15.0,15.0
Thu Feb  8 12:43:27 2024,15.017,14.988,14.998,14.999,15.001,14.999
Thu Feb  8 12:43:46 2024,14.947,15.033,14.998,14.999,15.0,15.003
Thu Feb  8 12:44:06 2024,15.0,15.051,15.0,15.0,14.999,15.0
Thu Feb  8 12:44:25 2024,15.016,15.056,15.0,15.003,15.001,14.998
Thu Feb  8 12:44:44 2024,15.028,14.966,15.001,14.999,14.999,15.001
Thu Feb  8 12:45:03 2024,15.011,14.941,15.0,15.001,14.999,14.998
Thu Feb  8 12:45:22 2024,14.966,15.092,15.0,15.0,14.999,14.998
Thu Feb  8 12:45:41 2024,15.011,15.131,15.0,15.001,15.002,15.003
Thu Feb  8 12:46:01 2024,14.961,15.298,14.998,15.0,14.996,14.998
Thu Feb  8 12:46:20 2024,15.002,15.068,14.998,14.999,14.997,14.998
Thu Feb  8 12:46:39 2024,14.992,15.073,15.0,14.998,15.0,15.002
Thu Feb  8 12:46:58 2024,15.002,15.083,15.0,14.998,15.0,14.998
Thu Feb  8 12:47:17 2024,14.963,15.085,15.002,14.998,14.998,14.999
Thu Feb  8 12:47:36 2024,15.0,15.033,15.001,14.998,15.0,14.998
Thu Feb  8 12:47:55 2024,14.966,14.978,14.998,14.997,14.999,14.998
Thu Feb  8 12:48:14 2024,15.0,15.014,14.999,14.999,14.999,15.0
Thu Feb  8 12:48:34 2024,14.998,15.011,15.0,15.001,15.0,15.0
Thu Feb  8 12:48:53 2024,15.0,14.998,15.002,15.001,15.003,15.005
Thu Feb  8 12:50:18 2024,15.0,15.002,14.999,14.999,15.0,14.998
Thu Feb  8 12:50:33 2024,15.002,14.861,15.0,15.001,15.0,15.004
Thu Feb  8 12:50:48 2024,15.016,15.091,14.999,14.997,14.998,15.001
Thu Feb  8 12:51:03 2024,15.028,15.014,14.999,15.002,15.001,14.998
Thu Feb  8 12:51:18 2024,14.978,14.986,15.0,15.002,14.998,14.999
Thu Feb  8 12:51:33 2024,14.986,14.848,15.0,15.0,14.999,15.001
Thu Feb  8 12:51:48 2024,15.078,15.275,15.001,15.0,15.002,15.001
Thu Feb  8 12:52:03 2024,14.998,15.082,14.999,14.998,14.998,14.999
Thu Feb  8 12:52:18 2024,15.017,14.995,15.0,15.002,15.002,15.0
Thu Feb  8 12:52:33 2024,15.008,14.992,15.002,15.0,15.002,15.002
Thu Feb  8 12:52:48 2024,14.963,14.954,15.0,15.002,15.001,15.0
Thu Feb  8 12:53:03 2024,15.022,14.863,15.0,14.999,15.002,14.999
Thu Feb  8 12:53:18 2024,14.972,15.085,15.001,15.001,15.001,15.001
Thu Feb  8 12:53:33 2024,14.966,15.0,14.999,14.998,14.998,15.0
Thu Feb  8 12:53:48 2024,14.998,14.996,15.0,14.999,14.998,14.998
Thu Feb  8 12:54:03 2024,15.011,14.852,15.001,15.002,15.002,14.998
Thu Feb  8 12:54:18 2024,15.009,15.327,15.002,15.002,15.004,15.003
Thu Feb  8 12:54:33 2024,14.994,15.064,15.0,14.999,15.0,15.002
Thu Feb  8 12:54:48 2024,14.955,15.023,14.998,14.995,14.993,14.998
Thu Feb  8 12:55:03 2024,14.936,14.991,15.002,15.001,15.002,14.998
Thu Feb  8 12:55:18 2024,15.008,14.948,14.999,15.001,15.001,15.002
Thu Feb  8 12:55:33 2024,14.991,14.897,15.001,15.002,15.001,15.0
Thu Feb  8 12:55:48 2024,14.983,14.878,15.001,14.999,15.0,14.999
Thu Feb  8 12:56:03 2024,14.978,14.858,15.002,15.0,14.999,14.998
Thu Feb  8 12:56:18 2024,15.003,14.861,15.002,15.0,15.002,15.001
Thu Feb  8 12:56:33 2024,14.948,14.908,14.998,15.004,15.002,15.001
Thu Feb  8 12:56:48 2024,14.986,14.941,15.0,14.999,15.002,15.001
Thu Feb  8 12:57:03 2024,15.02,14.966,14.998,14.999,14.997,14.996
Thu Feb  8 12:57:18 2024,15.055,14.976,14.997,15.002,15.002,15.001
Thu Feb  8 12:57:33 2024,15.03,15.015,14.999,14.996,14.998,14.998
Thu Feb  8 12:57:47 2024,15.011,15.008,15.002,15.0,14.997,14.999
Thu Feb  8 12:58:02 2024,14.994,14.966,15.0,15.0,15.001,15.0
Thu Feb  8 12:58:17 2024,14.948,15.048,14.998,14.998,14.998,14.997
Thu Feb  8 12:58:32 2024,14.95,15.08,15.001,15.0,15.001,14.998
Thu Feb  8 12:58:47 2024,15.003,14.977,15.002,15.005,15.004,15.001
Thu Feb  8 12:59:02 2024,14.956,14.847,15.001,15.004,15.0,14.998
Thu Feb  8 12:59:17 2024,14.995,14.928,14.998,15.0,15.002,15.002
Thu Feb  8 12:59:32 2024,15.011,14.986,15.004,15.0,15.002,15.001
Thu Feb  8 12:59:47 2024,14.948,15.016,15.002,14.998,14.998,14.998
Thu Feb  8 13:00:02 2024,14.98,14.971,14.998,14.998,14.996,14.998
Thu Feb  8 13:00:25 2024,14.934,15.01,15.002,14.998,14.999,14.999
Thu Feb  8 13:00:40 2024,15.0,15.327,15.002,15.002,15.006,15.002
Thu Feb  8 13:00:55 2024,14.952,14.858,15.002,14.999,15.0,14.999
Thu Feb  8 13:01:10 2024,14.948,14.955,14.998,14.996,14.998,15.0
Thu Feb  8 13:01:25 2024,14.984,15.006,15.002,14.998,14.998,14.999
Thu Feb  8 13:01:40 2024,15.017,15.058,15.002,15.002,15.0,15.002
Thu Feb  8 13:01:55 2024,15.006,15.214,15.0,15.003,15.002,15.001
Thu Feb  8 13:02:10 2024,14.995,14.912,15.002,14.998,15.0,15.001
Thu Feb  8 13:02:25 2024,14.969,15.018,14.997,15.0,15.003,14.999
Thu Feb  8 13:02:40 2024,15.027,15.085,14.998,14.995,14.996,14.998
Thu Feb  8 13:02:55 2024,14.958,14.841,15.001,15.002,15.003,15.006
Thu Feb  8 13:03:10 2024,15.011,14.988,14.998,15.002,15.001,15.001
Thu Feb  8 13:03:25 2024,14.995,15.002,14.998,15.0,15.0,14.998
Thu Feb  8 13:03:39 2024,14.958,15.071,15.0,15.001,14.998,15.001
Thu Feb  8 13:03:54 2024,15.019,14.959,15.0,14.999,15.0,15.0
Thu Feb  8 13:04:09 2024,14.981,14.926,15.0,14.998,14.999,15.002
Thu Feb  8 13:04:24 2024,15.017,15.189,15.001,14.999,15.003,15.002
Thu Feb  8 13:04:39 2024,15.0,14.973,14.999,15.004,15.002,15.002
Thu Feb  8 13:04:54 2024,15.108,15.018,15.0,15.002,15.0,15.002
Thu Feb  8 13:05:09 2024,14.959,14.894,14.999,14.999,15.002,14.999
Thu Feb  8 13:05:24 2024,15.128,14.995,15.0,15.002,14.997,14.998
Thu Feb  8 13:05:39 2024,15.003,15.091,15.0,14.998,14.996,14.999
Thu Feb  8 13:05:54 2024,15.009,14.842,15.001,15.002,15.001,15.001
Thu Feb  8 13:06:09 2024,14.997,15.01,15.002,15.0,15.0,15.0
Thu Feb  8 13:06:24 2024,14.967,15.08,14.998,14.998,14.998,14.998
Thu Feb  8 13:06:39 2024,15.016,14.959,15.0,14.998,14.999,15.0
Thu Feb  8 13:06:54 2024,14.964,15.055,15.002,14.998,15.0,14.999
Thu Feb  8 13:07:09 2024,15.014,14.856,15.002,15.002,15.002,14.999
Thu Feb  8 13:07:24 2024,14.997,15.001,14.998,15.002,15.004,15.002
Thu Feb  8 13:07:39 2024,14.967,15.058,15.0,15.0,14.999,14.998
Thu Feb  8 13:07:54 2024,15.13,14.999,14.999,14.998,14.998,14.998
Thu Feb  8 13:08:09 2024,15.014,15.298,15.001,15.001,15.002,15.0
