Time,Current SP,R1,R2,R3,R4,R5,R6
Tue May  7 09:37:37 2024,25.0,23.87774658203125,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Tue May  7 09:37:43 2024,25.0,23.91485595703125,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Tue May  7 09:37:51 2024,25.0,23.92999267578125,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Tue May  7 09:37:56 2024,25.0,23.986663818359375,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Tue May  7 09:38:02 2024,25.0,23.90850830078125,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Tue May  7 09:38:10 2024,25.0,23.93682861328125,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Tue May  7 09:38:15 2024,25.0,23.999847412109375,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Tue May  7 09:38:21 2024,25.0,24.002288818359375,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Tue May  7 09:38:29 2024,25.0,24.017425537109375,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Tue May  7 09:38:35 2024,25.0,23.978363037109375,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Tue May  7 09:38:40 2024,25.0,23.96319580078125,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Tue May  7 09:38:48 2024,25.0,23.91973876953125,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Tue May  7 09:38:54 2024,25.0,23.95245361328125,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Tue May  7 09:38:59 2024,25.0,23.913360595703125,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Tue May  7 09:39:07 2024,25.0,24.045745849609375,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Tue May  7 09:39:13 2024,25.0,23.958831787109375,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Tue May  7 09:39:18 2024,25.0,24.030609130859375,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Tue May  7 09:39:26 2024,25.0,23.917755126953125,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Tue May  7 09:39:31 2024,25.0,23.98516845703125,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Tue May  7 09:39:37 2024,25.0,23.922149658203125,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Tue May  7 09:39:44 2024,25.0,23.96319580078125,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Tue May  7 09:39:50 2024,25.0,23.874267578125,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Tue May  7 09:39:56 2024,25.0,23.902618408203125,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Tue May  7 09:40:02 2024,25.0,23.92608642578125,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Tue May  7 09:40:08 2024,25.0,23.90020751953125,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Tue May  7 09:40:13 2024,25.0,23.96954345703125,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Tue May  7 09:40:19 2024,25.0,23.815185546875,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Tue May  7 09:40:25 2024,25.0,23.902130126953125,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Tue May  7 09:40:31 2024,25.0,23.856689453125,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Tue May  7 09:40:37 2024,25.0,24.011077880859375,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Tue May  7 09:40:42 2024,25.0,24.00030517578125,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Tue May  7 09:40:48 2024,25.0,24.039398193359375,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Tue May  7 09:40:54 2024,25.0,23.97442626953125,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Tue May  7 09:41:00 2024,25.0,23.987579345703125,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Tue May  7 09:41:05 2024,25.0,23.92608642578125,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Tue May  7 09:41:11 2024,25.0,23.97149658203125,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Tue May  7 09:41:17 2024,25.0,23.789276123046875,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Tue May  7 09:41:24 2024,25.0,23.865478515625,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Tue May  7 09:41:31 2024,25.0,23.950469970703125,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Tue May  7 09:41:39 2024,25.0,24.024688720703125,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Tue May  7 09:41:46 2024,25.0,24.02667236328125,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Tue May  7 09:41:54 2024,25.0,24.03546142578125,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Tue May  7 09:42:01 2024,25.0,24.02227783203125,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Tue May  7 09:42:09 2024,25.0,23.944122314453125,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Tue May  7 09:42:16 2024,25.0,23.94610595703125,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Tue May  7 09:42:24 2024,25.0,23.913360595703125,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Tue May  7 09:42:31 2024,25.0,23.91973876953125,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Tue May  7 09:42:39 2024,25.0,23.93927001953125,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Tue May  7 09:42:46 2024,25.0,23.837158203125,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Tue May  7 09:42:54 2024,25.0,24.052093505859375,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Tue May  7 09:43:01 2024,25.0,23.869415283203125,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Tue May  7 09:43:09 2024,25.0,23.867462158203125,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Tue May  7 09:43:16 2024,25.0,23.930450439453125,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Tue May  7 09:43:24 2024,25.0,23.93927001953125,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Tue May  7 09:43:31 2024,25.0,24.039398193359375,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Tue May  7 09:43:39 2024,25.0,23.97442626953125,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Tue May  7 09:43:47 2024,25.0,24.01153564453125,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Tue May  7 09:43:55 2024,25.0,23.98321533203125,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Tue May  7 09:44:00 2024,25.0,23.978790283203125,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Tue May  7 09:44:06 2024,25.0,23.978790283203125,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Tue May  7 09:44:13 2024,25.0,23.958831787109375,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Tue May  7 09:44:19 2024,25.0,23.913360595703125,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Tue May  7 09:44:25 2024,25.0,23.96124267578125,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Tue May  7 09:44:32 2024,25.0,23.907012939453125,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Tue May  7 09:44:38 2024,25.0,23.876251220703125,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Tue May  7 09:44:44 2024,25.0,23.895782470703125,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Tue May  7 09:44:51 2024,25.0,23.913360595703125,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Tue May  7 09:44:57 2024,25.0,23.96319580078125,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Tue May  7 09:45:03 2024,25.0,24.011077880859375,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Tue May  7 09:45:10 2024,25.0,23.920196533203125,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
