,Unnamed: 0,Catalyst,Reaction,Tube,Date,Mass Catalyst,Mass Diluent,k_d,Y0,lifetime_yield,Y_pc,sqrtY0Y_pc,Pt,Sn,Ga,Fe,Cu,Ca,Mn,Zn
52,66,Pt1Sn4Ga1Ca4,24-030,1,2024-04-26,20.2,120.0,0.0010179640523343,0.235501661356792,231.3457541224076,50.14564605469723,3.4364782780763887,1,4.0,1.0,0.0,0.0,4.0,0,0
53,67,Pt1Sn4Ga4Fe1Ca1,24-030,2,2024-04-26,20.1,120.1,0.001372036636743,0.1403878570439766,102.32077867630872,28.707606859148555,2.007535655428523,1,4.0,4.0,1.0,0.0,1.0,0,0
54,68,Pt1Sn4Cu1Ca4,24-030,3,2024-04-26,20.1,120.1,0.0011147644298343,0.1871218123818092,167.85771717672125,39.40341245231668,2.715370684106582,1,4.0,0.0,0.0,1.0,4.0,0,0
55,69,Pt1Sn1Cu8,24-030,4,2024-04-26,20.2,120.2,0.0050247369387518,0.2264443428772935,45.06591004414689,31.5726646300237,2.673845787443786,1,1.0,0.0,0.0,8.0,0.0,0,0
56,70,Pt1Sn4Ga1Fe4Ca1,24-030,5,2024-04-26,19.9,120.0,0.0011046822769654,0.1673315973241778,151.47486369006447,35.27682698204644,2.4295941651713124,1,4.0,1.0,4.0,0.0,1.0,0,0
57,71,Pt1Sn1Cu8Ca1,24-030,6,2024-04-26,20.2,120.0,0.0027952017588873,0.2707183604200087,96.85109833637696,47.33359012642947,3.579674833252274,1,1.0,0.0,0.0,8.0,1.0,0,0
58,72,Pt1Sn1Fe1Cu4Ca1,24-031,1,2024-05-03,20.1,119.9,0.0022007804976169,0.3280283434064875,149.0509134198891,61.1596305347732,4.479072703995157,1,1.0,0.0,1.0,4.0,1.0,0,0
59,73,Pt1Sn1Cu4Ca1,24-031,2,2024-05-03,20.1,119.8,0.0022774472350161,0.2856341922923651,125.41857738817949,52.81098999892614,3.883892953275546,1,1.0,0.0,0.0,4.0,1.0,0,0
60,74,Pt1Cu8Ca4,24-031,3,2024-05-03,20.1,120.1,0.0019520137656905,0.2805934908781888,143.7456517008364,53.767927895787714,3.884189823575288,1,0.0,0.0,0.0,8.0,4.0,0,0
61,75,Pt1Sn1Ga1Cu4Ca1,24-031,4,2024-05-03,19.9,120.0,0.0027885543691212,0.3240444457115494,116.20517401411146,56.69755698601541,4.286318750015257,1,1.0,1.0,0.0,4.0,1.0,0,0
