,Date,Reaction,Tube,Catalyst,Mass Catalyst,Mass Diluent,Time,Time Since Start,Conversion,Selectivity,Carbon Balance,Yield
80,2024-05-20,24-034,3,Pt1Sn4Fe2Ca2,19.9,119.9,2024-05-21 01:51:15,305.95000000298023,0.21349465685005714,0.9990100134071588,1.0030669407348343,0.21328330000213236
80,2024-05-20,24-034,3,Pt1Sn4Fe2Ca2,19.9,119.9,2024-05-21 02:25:07,339.8166666550096,0.20790909281856454,0.9990184291761781,1.0047622963135185,0.20770501531904656
80,2024-05-20,24-034,3,Pt1Sn4Fe2Ca2,19.9,119.9,2024-05-21 02:58:59,373.6833333175164,0.20329139775707417,0.9989897235726564,1.009556563841182,0.20308601725003844
81,2024-05-20,24-034,4,Pt1Sn3.5Fe1.5Ca2.5,20.0,119.9,2024-05-20 21:16:52,31.56666667177342,0.3004351976694575,0.998488499186453,1.0010756624559192,0.2999810896237619
81,2024-05-20,24-034,4,Pt1Sn3.5Fe1.5Ca2.5,20.0,119.9,2024-05-20 21:50:17,64.9833333233837,0.2846179728022526,0.9988809760063168,1.005436669223347,0.2842994784616534
81,2024-05-20,24-034,4,Pt1Sn3.5Fe1.5Ca2.5,20.0,119.9,2024-05-20 22:23:44,98.43333332659677,0.27137806413678356,0.9989668513254009,1.0018511440677538,0.27109769024950536
81,2024-05-20,24-034,4,Pt1Sn3.5Fe1.5Ca2.5,20.0,119.9,2024-05-20 22:57:11,131.88333332980983,0.25998108781386486,0.9986369271358823,0.9996059633568081,0.25962671464788195
81,2024-05-20,24-034,4,Pt1Sn3.5Fe1.5Ca2.5,20.0,119.9,2024-05-20 23:42:05,176.7833333273884,0.24922248571071753,0.9986585907292506,1.0041073790588277,0.24888817635790597
81,2024-05-20,24-034,4,Pt1Sn3.5Fe1.5Ca2.5,20.0,119.9,2024-05-21 00:15:38,210.3333333225455,0.24071658027843157,0.9986566683235,1.0014226308838796,0.2403932180710848
81,2024-05-20,24-034,4,Pt1Sn3.5Fe1.5Ca2.5,20.0,119.9,2024-05-21 00:49:12,243.89999997778796,0.23406510961936836,0.9986634795410111,1.0021392200605694,0.23375227681162658
81,2024-05-20,24-034,4,Pt1Sn3.5Fe1.5Ca2.5,20.0,119.9,2024-05-21 01:23:03,277.7499999906868,0.22656761329607839,0.9986678521866565,1.0022087351261286,0.22626579174545156
81,2024-05-20,24-034,4,Pt1Sn3.5Fe1.5Ca2.5,20.0,119.9,2024-05-21 01:56:54,311.5999999931082,0.21956891976279497,0.9986625332793745,1.0026757399163673,0.21927525363972852
