Time,Current SP,R1,R2,R3,R4,R5,R6
Fri May  3 12:48:18 2024,121.42010219891866,142.07266235351562,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Fri May  3 12:48:24 2024,123.25914120674133,145.28292846679688,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Fri May  3 12:48:31 2024,125.80121159553528,149.79379272460938,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Fri May  3 12:48:37 2024,127.74353774388631,153.10842895507812,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Fri May  3 12:48:43 2024,129.58602102597553,156.28750610351562,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Fri May  3 12:48:50 2024,132.10131009419757,160.67050170898438,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Fri May  3 12:48:56 2024,134.0403533776601,164.01510620117188,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Fri May  3 12:49:01 2024,135.87604292233783,167.11752319335938,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Fri May  3 12:49:09 2024,138.3913505077362,171.34927368164062,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Fri May  3 12:49:15 2024,140.3270257314046,174.42962646484375,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Fri May  3 12:49:20 2024,142.166095495224,177.30123901367188,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Fri May  3 12:49:28 2024,144.68802968660992,181.32199096679688,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Fri May  3 12:49:34 2024,146.62717715899151,184.46884155273438,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Fri May  3 12:49:39 2024,148.4628616174062,187.33285522460938,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Fri May  3 12:49:47 2024,150.98810640970868,191.26907348632812,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Fri May  3 12:49:53 2024,152.91723537445068,194.15008544921875,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Fri May  3 12:49:58 2024,154.77622906366983,197.01510620117188,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Fri May  3 12:50:06 2024,157.26156798998514,200.74642944335938,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Fri May  3 12:50:11 2024,159.17722153663635,203.45816040039062,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Fri May  3 12:50:17 2024,161.03614600499472,206.24722290039062,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Fri May  3 12:50:24 2024,163.5548117160797,209.75796508789062,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Fri May  3 12:50:30 2024,165.49385118484497,212.5711669921875,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Fri May  3 12:50:36 2024,167.322873433431,215.10537719726562,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Fri May  3 12:50:43 2024,169.844779809316,218.71249389648438,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Fri May  3 12:50:49 2024,171.77716175715128,221.3836669921875,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Fri May  3 12:50:55 2024,173.60618869463602,223.93069458007812,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Fri May  3 12:51:02 2024,176.14147273699442,227.39053344726562,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Fri May  3 12:51:08 2024,178.08045180638632,230.01473999023438,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Fri May  3 12:51:14 2024,179.9127542177836,232.67098999023438,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Fri May  3 12:51:21 2024,182.42142311731973,236.02450561523438,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Fri May  3 12:51:27 2024,184.3471478621165,238.60977172851562,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Fri May  3 12:51:32 2024,186.21284174919128,241.01913452148438,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Fri May  3 12:51:40 2024,188.70475014050803,244.27481079101562,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Fri May  3 12:51:46 2024,190.65383092562357,246.66983032226562,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Fri May  3 12:51:52 2024,192.5861315727234,249.09280395507812,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Fri May  3 12:51:57 2024,194.50508681933084,251.36904907226562,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Fri May  3 12:52:03 2024,196.43407265345255,253.67892456054688,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Fri May  3 12:52:09 2024,198.35971601804098,256.0859680175781,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Fri May  3 12:52:15 2024,200.28202398618063,258.3702697753906,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Fri May  3 12:52:20 2024,202.21439615885416,260.6697082519531,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Fri May  3 12:52:26 2024,204.15329345067343,262.9494934082031,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Fri May  3 12:52:32 2024,206.09235080083212,265.2271423339844,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Fri May  3 12:52:38 2024,208.0347567399343,267.4593200683594,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Fri May  3 12:52:44 2024,209.95705485343933,269.6643371582031,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Fri May  3 12:52:49 2024,211.88604601224264,271.7756652832031,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Fri May  3 12:52:55 2024,213.79836885134378,273.9297790527344,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Fri May  3 12:53:01 2024,215.7205891609192,275.9795227050781,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Fri May  3 12:53:06 2024,217.54294888178507,277.9064025878906,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Fri May  3 12:53:14 2024,220.10168759028116,280.5614318847656,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Fri May  3 12:53:20 2024,222.02739596366882,282.4232482910156,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Fri May  3 12:53:25 2024,223.89643422762552,284.4432067871094,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Fri May  3 12:53:33 2024,226.4517366886139,286.8435363769531,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Fri May  3 12:53:39 2024,228.37083053588867,288.8727111816406,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
